ipa	etymological_group
k i s	native
k* ɑ t ɑ l k	native
k* ɑ m ɑ k wi	native
k* ɑ tɕʰ i	native
k* ɑ l	native
k* ɑ l k* ɯ m	native
k* ɑ ŋ tʰ o ŋ	mix
k* ɑ ŋ pʰ ɛ	mix
k* ɛ t ɑ l ɯ m	native
k* ʌ l i	native
k* ʌ m	loan
k* ʌ p t ɛ k i	native
k* ʌ p tɕ i l	native
k* o m ɑ	native
k* o k t ɛ k i	native
k* o l	native
k* o ŋ m u n i	native
k* o tɕʰ	native
k* u l ʌ m i	native
k* u l i	native
k* u m i	native
k* u tɕ u ŋ	native
k* u l	native
k* wʌ ŋ	native
k* ɯ tʰ ɯ m ʌ l i	native
k* ɯ n	native
k* i	native
k* i n i	native
k* i m s ɛ	native
n i ɯ n	native
n ɑ k wi	native
n ɑ k ɯ n ɛ	native
n ɑ m ʌ tɕ i	native
n ɑ m u	native
n ɑ p i	native
n ɑ s ʌ	sino
n ɑ ja k	sino
n ɑ jʌ l	sino
n ɑ wi	sino
n ɑ ɯ l i	native
n ɑ i	native
n ɑ tɕ u ŋ	native
n ɑ tɕ i k	sino
n ɑ tʰ o	loan
n ɑ pʰ o l l ɛ o ŋ	loan
n ɑ h ɯ l	native
n ɑ k k wa n	sino
n ɑ k s ʌ	sino
n ɑ k s ʌ n	sino
n ɑ k jʌ p	sino
n ɑ k wʌ n	sino
n ɑ k i n	sino
n ɑ k tʰ ɑ	sino
n ɑ k tʰ ɛ	sino
n ɑ k h u	sino
n ɑ k* s i	native
n ɑ n	sino
n ɑ n k ɑ n	sino
n ɑ n k wa n	sino
n ɑ n k u k	sino
n ɑ n l o	sino
n ɑ n l i	sino
n ɑ n m u	sino
n ɑ n m i n	sino
n ɑ n p ɑ ŋ	sino
n ɑ n s ɛ ŋ	sino
n ɑ n tɕ ɑ	sino
n ɑ n pʰ o k	sino
n ɑ n h ɛ	sino
n ɑ l	native
n ɑ l s* i	native
n ɑ m k i	sino
n ɑ m n jʌ	sino
n ɑ m l u	sino
n ɑ m m ɛ	sino
n ɑ m p ɑ l	sino
n ɑ m p ɑ ŋ	sino
n ɑ m p u	sino
n ɑ m p u k	sino
n ɑ m s ɑ n	sino
n ɑ m s ʌ ŋ	sino
n ɑ m s u	sino
n ɑ m jo ŋ	sino
n ɑ m tɕ o	sino
n ɑ m tɕʰ ɯ k	sino
n ɑ m pʰ jʌ n	sino
n ɑ m h ɑ n	sino
n ɑ m h ɛ	sino
n ɑ m h ja ŋ	sino
n ɑ p	native
n ɑ p t ɯ k	sino
n ɑ p p u	sino
n ɑ p tɕʰ i	sino
n ɑ p pʰ u m	sino
n ɑ s	native
n ɑ ŋ m ɑ n	sino
n ɑ ŋ p i	sino
n ɑ ŋ pʰ ɛ	sino
n ɑ tɕ	native
n ɑ tɕʰ	native
n ɛ k ɑ k	sino
n ɛ k wa	sino
n ɛ n jʌ n	sino
n ɛ l ɑ n	sino
n ɛ l jʌ k	sino
n ɛ l ju k	sino
n ɛ l i	sino
n ɛ m ɑ k	sino
n ɛ m jʌ n	sino
n ɛ m i l	sino
n ɛ p u	sino
n ɛ s ɑ	sino
n ɛ s ɛ k	mix
n ɛ s u	sino
n ɛ s i n	sino
n ɛ s i l	sino
n ɛ s i m	sino
n ɛ jʌ k	sino
n ɛ wɛ	sino
n ɛ jo ŋ	sino
n ɛ ɯ m	native
n ɛ i l	sino
n ɛ tɕ ɑ ŋ	sino
n ɛ tɕ ɛ	sino
n ɛ tɕ ʌ n	sino
n ɛ tɕ ʌ ŋ	sino
n ɛ tɕ u	sino
n ɛ tɕ i	sino
n ɛ tɕʰ i	sino
n ɛ pʰ o	sino
n ɛ h ɑ n	sino
n ɛ m p i	native
n ɛ m s ɛ	native
n ɛ ŋ t ɑ m	sino
n ɛ ŋ t o ŋ	sino
n ɛ ŋ m jʌ n	sino
n ɛ ŋ s o	sino
n ɛ ŋ s u	sino
n ɛ ŋ tɕ ʌ n	sino
n ɛ ŋ tɕ ʌ ŋ	sino
n ʌ	native
n ʌ m ʌ	native
n ʌ p i	native
n ʌ h ɰi	native
n ʌ k s	native
n ɛ	native
n ɛ tʰ ɯ wʌ kʰ ɯ	loan
n ɛ tʰ i tɕ ɯ n	loan
n ɛ k tʰ ɑ i	loan
n o k o	sino
n o k o l	sino
n o n jʌ n	sino
n o l ɑ ŋ	native
n o l ɛ	native
n o l jʌ k	sino
n o l u	native
n o l ɯ m	native
n o l ɯ s	native
n o l i	sino
n o m ɑ	sino
n o m o	sino
n o p i	sino
n o s ɑ	sino
n o s ʌ n	sino
n o s ɯ ŋ	sino
n o jʌ u m	native
n o jɛ	sino
n o ɯ l	native
n o i l o tɕ ɛ	loan
n o i n	sino
n o tɕ ɑ	sino
n o tɕ o	sino
n o tɕʰ o ŋ	sino
n o tɕʰ u l	sino
n o tʰ ɯ	loan
n o pʰ ɑ	sino
n o h wa	sino
n o h u	sino
n o k s ɛ k	sino
n o k ɯ m	sino
n o k i	sino
n o k tɕ i	sino
n o k h wa	sino
n o n	native
n o n k ʌ	sino
n o n l ɑ n	sino
n o n l i	sino
n o n m u n	sino
n o n p ʌ p	sino
n o n s ʌ l	sino
n o n s u l	sino
n o n ʌ	sino
n o n ɰi	sino
n o n tɕ ɛ ŋ	sino
n o n tɕ ɯ ŋ	sino
n o n tɕ i	sino
n o n pʰ jʌ ŋ	sino
n o l	native
n o l l ɑ u m	native
n o ŋ k ɑ	sino
n o ŋ k jʌ ŋ	sino
n o ŋ t ɑ m	sino
n o ŋ t o	sino
n o ŋ l i m	sino
n o ŋ m i n	sino
n o ŋ p ʌ p	sino
n o ŋ p u	sino
n o ŋ s ɑ	sino
n o ŋ s ʌ ŋ	sino
n o ŋ ja k	sino
n o ŋ ʌ p	sino
n o ŋ tɕ ɑ ŋ	sino
n o ŋ tɕ i	sino
n o ŋ tɕʰ o n	sino
n o ŋ tʰ o	sino
n o ŋ h jʌ p	sino
n wɛ	sino
n wɛ k ɑ n	sino
n wɛ l i	sino
n wɛ m u l	sino
n wɛ s ɑ	sino
n wɛ pʰ ɑ	sino
n u	sino
n u k u	native
n u n ɑ	native
n u n i m	native
n u t ʌ k i	native
n u l ɑ k	sino
n u l u k	native
n u l i	native
n u tɕ ʌ k	sino
n u n	native
n ju	loan
n ju s ɯ	loan
n ju u s ɯ	native
n ɯ k* i m	native
n ɯ k t ɛ	native
n ɯ ŋ	sino
n ɯ ŋ k ɑ	sino
n ɯ ŋ t o ŋ	sino
n ɯ ŋ l jʌ k	sino
n ɯ ŋ l ju l	sino
n ɯ ŋ s ʌ n	sino
n ɯ ŋ tɕʰ ʌ ŋ	native
n ɯ ŋ h ɑ	sino
n ɯ pʰ	native
n i m	native
t i k ɯ t	native
t ɑ	native
t ɑ k ɑ k	sino
t ɑ k ɯ p	sino
t ɑ l ja ŋ	sino
t ɑ l i	native
t ɑ p ɑ l	native
t ɑ p ɑ ŋ	sino
t ɑ p i	sino
t ɑ s u	sino
t ɑ ja ŋ	sino
t ɑ wʌ n	sino
t ɑ ɯ m	native
t ɑ i ɑ m o n t ɯ	loan
t ɑ i ʌ tʰ ɯ	loan
t ɑ tɕ ʌ ŋ	sino
t ɑ tɕ i m	native
t ɑ kʰ ju m ɛ n tʰ ʌ l i	loan
t ɑ tʰ u m	native
t ɑ h ɛ ŋ	sino
t ɑ n k ɑ	sino
t ɑ n k jʌ l	sino
t ɑ n k jɛ	sino
t ɑ n k o l	native
t ɑ n k i	sino
t ɑ n n jʌ m	sino
t ɑ n t o k	sino
t ɑ n l ɑ k	sino
t ɑ n l jʌ n	sino
t ɑ n m jʌ n	sino
t ɑ n s ʌ	sino
t ɑ n s o k	sino
t ɑ n s u n	sino
t ɑ n ʌ	sino
t ɑ n ʌ n	sino
t ɑ n jʌ n	sino
t ɑ n wʌ n	sino
t ɑ n wi	sino
t ɑ n i l	sino
t ɑ n tɕ ɑ ŋ	sino
t ɑ n tɕ ʌ l	sino
t ɑ n tɕ ʌ m	sino
t ɑ n tɕ ʌ ŋ	sino
t ɑ n tɕ o	sino
t ɑ n tɕ i	sino
t ɑ n tɕʰ ɛ	sino
t ɑ n tɕʰ u	native
t ɑ n tɕʰ u k	sino
t ɑ n pʰ jʌ n	sino
t ɑ n pʰ u ŋ	sino
t ɑ n h ɑ p	sino
t ɑ n h ɛ ŋ	sino
t ɑ n h o	sino
t ɑ l k ja l	native
t ɑ l l ɛ	native
t ɑ l l ʌ	loan
t ɑ l l jʌ k	mix
t ɑ l s ʌ ŋ	sino
t ɑ l pʰ ɛ ŋ i	native
t ɑ l h ɑ	sino
t ɑ l k	native
t ɑ m	native
t ɑ m k i	sino
t ɑ m t ɑ ŋ	sino
t ɑ m l o n	sino
t ɑ m p ɛ	native
t ɑ m i m	sino
t ɑ m h wa	sino
t ɑ p p jʌ n	sino
t ɑ p s ɑ	sino
t ɑ p ɑ n	sino
t ɑ p tɕ ɑ ŋ	sino
t ɑ s s ɛ	native
t ɑ ŋ k u k	sino
t ɑ ŋ k ɯ n	native
t ɑ ŋ k i	sino
t ɑ ŋ n ɛ	sino
t ɑ ŋ t ɑ ŋ	sino
t ɑ ŋ t ɛ	sino
t ɑ ŋ t o	sino
t ɑ ŋ l o n	sino
t ɑ ŋ m jʌ n	sino
t ɑ ŋ m u	sino
t ɑ ŋ p u	sino
t ɑ ŋ s ɑ	sino
t ɑ ŋ s ʌ n	sino
t ɑ ŋ s u	sino
t ɑ ŋ s u k	sino
t ɑ ŋ s i	sino
t ɑ ŋ s i n	sino
t ɑ ŋ jʌ n	sino
t ɑ ŋ wʌ n	sino
t ɑ ŋ wi	sino
t ɑ ŋ i l	sino
t ɑ ŋ tɕ ɑ ŋ	sino
t ɑ ŋ tɕ ʌ ŋ	sino
t ɑ ŋ tɕ wa	sino
t ɑ ŋ tɕ i k	sino
t ɑ ŋ tɕʰ ʌ m	sino
t ɑ ŋ tɕʰ o	sino
t ɑ ŋ pʰ ɑ	sino
t ɑ ŋ h ɑ	sino
t ɑ ŋ h o k	sino
t ɑ ŋ h wa ŋ	sino
t ɛ k ɑ	sino
t ɛ k ɑ l i	native
t ɛ k ɑ m	sino
t ɛ k ɑ ŋ	sino
t ɛ k ɛ	sino
t ɛ k ʌ	sino
t ɛ k ʌ m	sino
t ɛ k jʌ n	sino
t ɛ k u	sino
t ɛ k u k	sino
t ɛ k wʌ n	sino
t ɛ k ɯ m	sino
t ɛ k i	sino
t ɛ k* u	native
t ɛ n wɛ	sino
t ɛ t ɑ n	sino
t ɛ t ɑ m	sino
t ɛ t ɑ p	sino
t ɛ t ɛ	sino
t ɛ t u	sino
t ɛ t ɯ ŋ	sino
t ɛ l ja k	sino
t ɛ l ja ŋ	sino
t ɛ l jʌ ŋ	sino
t ɛ l o	sino
t ɛ l i	sino
t ɛ l i p	sino
t ɛ m ɑ n	sino
t ɛ m jʌ n	sino
t ɛ m o k	native
t ɛ m u n	sino
t ɛ m i	sino
t ɛ p jʌ n	sino
t ɛ p o n	sino
t ɛ p u k	sino
t ɛ p i	sino
t ɛ s ɑ	sino
t ɛ s ɑ ŋ	sino
t ɛ s ɛ	sino
t ɛ s u	native
t ɛ s i n	sino
t ɛ ɑ n	sino
t ɛ ja	native
t ɛ jʌ	sino
t ɛ jʌ l	sino
t ɛ wa ŋ	sino
t ɛ wʌ n	sino
t ɛ wi	sino
t ɛ ɯ ŋ	sino
t ɛ i n	sino
t ɛ i l	sino
t ɛ tɕ ɑ k	sino
t ɛ tɕ ɑ ŋ	sino
t ɛ tɕ ʌ n	sino
t ɛ tɕ u ŋ	sino
t ɛ tɕ i	sino
t ɛ tɕʰ ɛ k	sino
t ɛ tɕʰ ʌ ŋ	sino
t ɛ tɕʰ ɛ	sino
t ɛ tɕʰ u	native
t ɛ tɕʰ u ŋ	sino
t ɛ tɕʰ i	sino
t ɛ tɕʰ i ŋ	sino
t ɛ tʰ o ŋ l jʌ ŋ	sino
t ɛ pʰ o k	sino
t ɛ pʰ jo	sino
t ɛ pʰ i	sino
t ɛ h ɑ	sino
t ɛ h ɑ k	sino
t ɛ h ɑ n	sino
t ɛ h ɑ ŋ	sino
t ɛ h ɛ ŋ	sino
t ɛ h jʌ ŋ	sino
t ɛ h wa	sino
t ɛ h wɛ	sino
t ɛ k	sino
t ɛ n s ɯ	loan
t ɛ ŋ k i	native
t ʌ m i	native
t ʌ wi	native
t ʌ k m o k	sino
t ʌ k p u n	sino
t ʌ k tʰ ɛ k	sino
t ʌ m pʰ i ŋ	loan
t ʌ ŋ ʌ l i	native
t ʌ ŋ i	native
t ʌ tɕʰ	native
t ɛ	loan
t ɛ m o	loan
t ɛ p wi	loan
t ɛ i tʰ ʌ	loan
t ɛ i tʰ ɯ	loan
t o k u	sino
t o k* ɛ p i	native
t o k* i	native
t o n ɑ n	sino
t o t ɑ l	sino
t o t ʌ k	sino
t o l jʌ ŋ	native
t o l o	sino
t o m ɑ	native
t o m ɑ ŋ	sino
t o m ɛ	sino
t o m o	sino
t o m u tɕ i	native
t o m i	sino
t o p ɑ k	sino
t o p ɑ l	sino
t o s ɑ l i	native
t o s ɑ n	sino
t o s ʌ	sino
t o s ʌ ŋ	sino
t o s i	sino
t o s i l ɑ k	native
t o s i k	sino
t o s i m	sino
t o ja k	sino
t o u m	native
t o ɰi	sino
t o i p	sino
t o tɕ ɑ ŋ	sino
t o tɕ ʌ k	sino
t o tɕ ʌ n	sino
t o tɕ o	sino
t o tɕ u	sino
t o tɕ u ŋ	sino
t o tɕʰ ɑ k	sino
t o tɕʰ ʌ	sino
t o tɕʰ ʌ ŋ	sino
t o tɕʰ u l	sino
t o tɕʰ wi	sino
t o tʰ ɛ	sino
t o pʰ jo	sino
t o pʰ i	sino
t o h jʌ ŋ	sino
t o k	native
t o k t ɑ n	sino
t o k t o	sino
t o k l jʌ	sino
t o k l i p	sino
t o k p ɑ ŋ	sino
t o k p ɛ k	sino
t o k s ʌ	sino
t o k s ʌ n	sino
t o k s i n	sino
t o k tɕ ɑ	sino
t o k tɕ ɛ	sino
t o k tɕ ʌ m	sino
t o k tɕʰ ɑ ŋ	sino
t o k tɕʰ o k	sino
t o k tʰ ɯ k	sino
t o n	native
t o l	native
t o l p ɑ l	sino
t o l p jʌ n	sino
t o l p o	native
t o l i p	sino
t o l tɕ i n	sino
t o l tɕʰ u l	sino
t o l pʰ u ŋ	sino
t o ŋ k ʌ	sino
t o ŋ k jʌ l	sino
t o ŋ k jʌ ŋ	sino
t o ŋ k o ŋ	sino
t o ŋ k u	sino
t o ŋ k u l	sino
t o ŋ k ɯ l ɑ m i	native
t o ŋ k i	sino
t o ŋ n ɛ	mix
t o ŋ t o k	sino
t o ŋ t ɯ ŋ	sino
t o ŋ l jʌ k	sino
t o ŋ l jo	sino
t o ŋ m ɛ k	sino
t o ŋ m ɛ ŋ	sino
t o ŋ m u	native
t o ŋ m u l	sino
t o ŋ p ɑ n	sino
t o ŋ p ɑ ŋ	sino
t o ŋ p u	sino
t o ŋ p u k	sino
t o ŋ s ɑ	sino
t o ŋ s ɑ n	native
t o ŋ s ɛ ŋ	native
t o ŋ s ʌ	sino
t o ŋ s u	sino
t o ŋ s i	sino
t o ŋ ɑ	sino
t o ŋ ɑ l i	native
t o ŋ ɑ n	native
t o ŋ ja ŋ	sino
t o ŋ jʌ ŋ	sino
t o ŋ jo	sino
t o ŋ wʌ n	sino
t o ŋ ɰi	sino
t o ŋ i n	sino
t o ŋ i l	sino
t o ŋ tɕ ɑ k	sino
t o ŋ tɕ ʌ n	sino
t o ŋ tɕ ʌ ŋ	sino
t o ŋ tɕ o	sino
t o ŋ tɕ o k	sino
t o ŋ tɕ u n	sino
t o ŋ tɕ i	sino
t o ŋ tɕ i l	sino
t o ŋ tɕʰ ɑ m	sino
t o ŋ tɕʰ ɑ ŋ	sino
t o ŋ pʰ o	sino
t o ŋ h ɑ k	sino
t o ŋ h ɛ	sino
t o ŋ h ɛ ŋ	sino
t o ŋ h ja ŋ	sino
t o ŋ h jʌ n	sino
t o ŋ h wa	sino
t o ŋ h wa n	sino
t wɛ tɕ i	native
t wɛ	native
t u	sino
t u k* ʌ p i	native
t u k* ʌ p	native
t u n wɛ	sino
t u l ɛ	native
t u l jʌ u m	native
t u l u m ɑ k i	native
t u p u	sino
t u tʰ o ŋ	sino
t u k	native
t u n k ɑ p	sino
t u n h wa	sino
t u l l ɛ	native
t u ŋ	native
t u ŋ tɕ i	native
t wi	native
t wi tɕ i	native
t wi tɕ i p	native
t ɯ l ɑ m ɑ	loan
t ɯ l ɑ i p ɯ	loan
t ɯ l ɛ s ɯ	loan
t ɯ k tɕ ʌ m	sino
t ɯ k pʰ jo	sino
t ɯ l	native
t ɯ ŋ k jo	sino
t ɯ ŋ k ɯ p	sino
t ɯ ŋ k i	sino
t ɯ ŋ t ɑ n	sino
t ɯ ŋ l o k	sino
t ɯ ŋ s ɑ n	sino
t ɯ ŋ tɕ ɑ ŋ	sino
t ɯ ŋ tɕ i	sino
t i t i	loan
t i s ɯ kʰ ɯ	loan
t i tɕ ɑ i n ʌ	loan
t i tɕ ɑ i n	loan
t i tɕ i tʰ ʌ l	loan
t i l l ɛ m ɑ	loan
t* ɑ n	native
t* ɑ l	native
t* ɑ l k i	native
t* ɑ m	native
t* ɛ	native
t* ʌ k	native
t* ɛ	native
t* o l ɛ	native
t* o ŋ	native
t* u k* ʌ ŋ	native
t* ɯ l	native
t* ɯ s	native
t* i	native
l i ɯ l	native
l ɑ t i o	loan
l ɑ l ɑ	loan
l ɑ m jʌ n	loan
l ɑ u n t ɯ	loan
l ɑ i p ʌ l	loan
l ɑ i p ɯ	loan
l ɑ i tʰ ʌ	loan
l ɑ i n	loan
l ɑ tʰ i n	loan
l ɑ n	sino
l ʌ p ɯ	loan
l ɛ n i n	loan
l ɛ s ɯ tʰ o l ɑ ŋ	loan
l ɛ s ɯ l l i ŋ	loan
l ɛ i tɕ ʌ	loan
l ɛ tɕ ʌ	loan
l ɛ n tɕ ɯ	loan
l o p o s	loan
l o m	loan
l ɯ n ɛ s ɑ ŋ s ɯ	loan
l i	sino
l i k ɯ	loan
l i t ʌ	loan
l i t ʌ s i p	loan
l i t ɯ m	loan
l i p o n	loan
l i s ɯ tʰ ɯ	loan
l i ʌ l l i tɕ ɯ m	loan
l i ʌ l l i tʰ i	loan
l i ɛ n tɕ i n i ʌ l i ŋ	loan
l i p s ɯ tʰ i k	loan
l i ŋ kʰ ʌ n	loan
m i ɯ m	native
m ɑ k ɑ m	native
m ɑ k u	sino
m ɑ n ja ŋ	native
m ɑ n jʌ	sino
m ɑ n ɯ l	native
m ɑ n i m	native
m ɑ t ɑ	sino
m ɑ t ɑ m	loan
m ɑ t ɑ ŋ	native
m ɑ t i	native
m ɑ l ɑ tʰ o n	loan
m ɑ l jʌ n	native
m ɑ l u	native
m ɑ l ɯ	loan
m ɑ l i	sino
m ɑ m u l i	native
m ɑ p ʌ p	sino
m ɑ p i	sino
m ɑ s ɑ tɕ i	loan
m ɑ s u l	sino
m ɑ s i	sino
m ɑ ja k	sino
m ɑ u n t ɯ	loan
m ɑ ɯ l	native
m ɑ i n ʌ s ɯ	loan
m ɑ i kʰ ɯ	loan
m ɑ i l	sino
m ɑ tɕ u	sino
m ɑ tɕ u ŋ	native
m ɑ tɕ i m ɑ k	native
m ɑ tɕʰ ɑ	sino
m ɑ tɕʰ ɑ n k ɑ tɕ i	native
m ɑ tɕʰ ɑ l	sino
m ɑ tɕʰ wi	sino
m ɑ tɕʰ i m	native
m ɑ kʰ ɛ tʰ i ŋ	loan
m ɑ kʰ ɯ	loan
m ɑ pʰ o	sino
m ɑ k	sino
m ɑ k k ɑ ŋ	sino
m ɑ k k ʌ l l i	native
m ɑ k n ɛ	native
m ɑ k m u k ɑ n ɛ	sino
m ɑ k s ɑ ŋ	sino
m ɑ k tɕ u ŋ	sino
m ɑ n	sino
m ɑ n k u k	sino
m ɑ n k i	sino
m ɑ n k* i k	sino
m ɑ n n ɑ m	native
m ɑ n n ɯ ŋ	sino
m ɑ n t u	sino
m ɑ n l jo	sino
m ɑ n l ju	sino
m ɑ n m ɑ n	sino
m ɑ n m u	sino
m ɑ n m u l	sino
m ɑ n s ɑ	sino
m ɑ n s ʌ ŋ	sino
m ɑ n s ɛ	sino
m ɑ n ja k	sino
m ɑ n jʌ n	sino
m ɑ n i n	sino
m ɑ n i l	sino
m ɑ n tɕ ʌ m	sino
m ɑ n tɕ o k	sino
m ɑ n tɕ u	sino
m ɑ n tɕ i	sino
m ɑ n tɕʰ ɑ n	sino
m ɑ n h wa	sino
m ɑ l	native
m ɑ l t ɑ n	sino
m ɑ l t* u k	native
m ɑ l l i	sino
m ɑ l s ɑ l	sino
m ɑ l s* ʌ ŋ	native
m ɑ l s* ɯ m	native
m ɑ l tɕʰ o	sino
m ɑ s	native
m ɑ ŋ k ɑ k	sino
m ɑ ŋ l ɑ	sino
m ɑ ŋ l jʌ ŋ	sino
m ɑ ŋ m ɑ k	sino
m ɑ ŋ m jʌ ŋ	sino
m ɑ ŋ s ɑ ŋ	sino
m ɑ ŋ s i n	sino
m ɑ ŋ ʌ n	sino
m ɛ k ɑ k	sino
m ɛ k ɛ	sino
m ɛ n ʌ	loan
m ɛ n jʌ n	sino
m ɛ n i tɕ ʌ	loan
m ɛ t o	sino
m ɛ t ɯ p	native
m ɛ l jʌ k	sino
m ɛ l jo	sino
m ɛ l i p	sino
m ɛ m ɛ	sino
m ɛ m o l	sino
m ɛ m u l	sino
m ɛ m i	native
m ɛ p ʌ n	sino
m ɛ s ɑ	sino
m ɛ s u	sino
m ɛ s ɯ	loan
m ɛ jʌ n	sino
m ɛ wʌ l	sino
m ɛ i l	sino
m ɛ i p	sino
m ɛ tɕ ɑ ŋ	sino
m ɛ tɕ u	sino
m ɛ tɕʰ ɛ	sino
m ɛ tɕʰ u n	sino
m ɛ tɕʰ u l	sino
m ɛ h o k	sino
m ɛ k	sino
m ɛ k l ɑ k	sino
m ɛ k p ɑ k	sino
m ɛ k tɕ u	sino
m ɛ ŋ m o k	sino
m ɛ ŋ s ɛ	sino
m ɛ ŋ tɕ ɑ	sino
m ʌ l i	native
m ʌ s ɯ m	native
m ʌ k	native
m ʌ n tɕ ʌ	native
m ʌ l l i	native
m ʌ s	native
m ʌ ŋ s ʌ k	native
m ɛ	native
m ɛ n ju	loan
m ɛ t* u k i	native
m ɛ m o	loan
m ɛ s i tɕ i	loan
m ɛ ɑ l i	native
m ɛ i kʰ ʌ	loan
m ɛ i l	loan
m ɛ tɕ u	native
m ɛ kʰ ʌ n i tɕ ɯ m	loan
m ɛ m p ʌ	loan
m jʌ n ɯ l i	native
m jʌ tɕʰ i l	native
m jʌ n t ɑ m	sino
m jʌ n m o	sino
m jʌ n jʌ k	sino
m jʌ n tɕ ʌ k	sino
m jʌ n tɕ ʌ p	sino
m jʌ n tɕ ɛ	sino
m jʌ n h ʌ	sino
m jʌ n h wɛ	sino
m jʌ l m ɑ ŋ	sino
m jʌ l s i	sino
m jʌ l tɕ o ŋ	sino
m jʌ l tɕʰ i	native
m jʌ ŋ	sino
m jʌ ŋ t ɑ n	sino
m jʌ ŋ t o ŋ	sino
m jʌ ŋ l ɑ ŋ	sino
m jʌ ŋ l jʌ ŋ	sino
m jʌ ŋ m jʌ ŋ	sino
m jʌ ŋ m o k	sino
m jʌ ŋ m u n	sino
m jʌ ŋ p u	sino
m jʌ ŋ p u n	sino
m jʌ ŋ s ɑ	sino
m jʌ ŋ s ɑ ŋ	sino
m jʌ ŋ s ɛ k	sino
m jʌ ŋ s ʌ ŋ	sino
m jʌ ŋ s o	sino
m jʌ ŋ s i	sino
m jʌ ŋ s i m	sino
m jʌ ŋ jɛ	sino
m jʌ ŋ ɰi	sino
m jʌ ŋ tɕ ɑ k	sino
m jʌ ŋ tɕ ʌ l	sino
m jʌ ŋ tɕ ɛ	sino
m jʌ ŋ tɕʰ i ŋ	sino
m jʌ ŋ tʰ ɛ	sino
m jʌ ŋ h ɑ m	sino
m o k ɯ m	sino
m o k i	native
m o n i tʰ ʌ	loan
m o t ʌ n i tɕ ɯ m	loan
m o t ɛ l	loan
m o t o k	sino
m o t u m	native
m o l ɛ	native
m o l ɯ	loan
m o m jʌ n	sino
m o p ɑ ŋ	sino
m o p ʌ m	sino
m o s ɛ k	sino
m o s ʌ ŋ	sino
m o s u n	sino
m o s ɯ p	native
m o s i	sino
m o ja ŋ	sino
m o ju	sino
m o i	native
m o tɕ ɑ	sino
m o tɕ o l i	native
m o tɕ i l	sino
m o tɕ i p	sino
m o tɕʰ ɛ	sino
m o tʰ u ŋ i	native
m o h ʌ m	sino
m o k	native
m o k k jʌ k	sino
m o k l o k	sino
m o k s ɑ	sino
m o k s u	sino
m o k jo k	sino
m o k tɕ ɛ	sino
m o k tɕ ʌ k	sino
m o k tɕ o	sino
m o k pʰ o	sino
m o k pʰ jo	sino
m o k s	native
m o l k o l	native
m o l t u	sino
m o l l ɑ k	sino
m o l l i	sino
m o l i p	sino
m o m	native
m o s	native
m o ŋ k o	sino
m o ŋ t u ŋ i	native
m jo	sino
m jo s ɑ	sino
m jo s o	sino
m jo tɕ i	sino
m jo h ɑ	sino
m u k ʌ p	native
m u k ɛ	native
m u k u ŋ	sino
m u k i	sino
m u n jʌ	sino
m u n ɯ ŋ	sino
m u n ɰi	native
m u t ɑ n	sino
m u t ɛ	sino
m u t ʌ k i	native
m u t ʌ m	native
m u t ɯ	loan
m u t* u k t* u k	native
m u l jʌ	sino
m u l jʌ k	sino
m u l jɛ	sino
m u l jo	sino
m u l ɯ s	native
m u l ɯ pʰ	native
m u l i	native
m u m ɑ	sino
m u m o	sino
m u s ɑ	sino
m u s ɑ ŋ	sino
m u s ɛ k	sino
m u s ʌ n	sino
m u s ʌ ŋ	sino
m u s o k	sino
m u s i k	sino
m u s i n	sino
m u s i m	sino
m u ʌ s	native
m u jʌ k	sino
m u jo ŋ	sino
m u tɕ i	sino
m u tɕ i k ɛ	native
m u tɕʰ ʌ k	sino
m u h jʌ ŋ	sino
m u h jo	sino
m u k s ɑ l	sino
m u k i n	sino
m u k tɕ ɑ	sino
m u n	sino
m u n k ʌ n	sino
m u n k u	sino
m u n t ɑ n	sino
m u n t ɯ k	sino
m u n l ɑ n	sino
m u n m jʌ ŋ	sino
m u n m u l	sino
m u n m i n	sino
m u n p ʌ p	sino
m u n s ʌ	sino
m u n ja ŋ	sino
m u n ʌ	sino
m u n jɛ	sino
m u n ɰi	sino
m u n i n	sino
m u n tɕ ɑ	sino
m u n tɕ ɑ ŋ	sino
m u n tɕ ɛ	sino
m u n tɕ u ŋ	sino
m u n tɕʰ ɛ	sino
m u n h ɑ k	sino
m u n h ɑ ŋ	sino
m u n h ʌ n	sino
m u n h wa	sino
m u l	native
m u l k ɑ	sino
m u l k ʌ n	sino
m u l l ja ŋ	sino
m u l l o n	sino
m u l s ɛ k	sino
m u l ɯ m	native
m u l ɰi	sino
m u l tɕ ɑ	sino
m u l tɕ i l	sino
m u l tɕʰ ɛ	sino
m u l pʰ u m	sino
m u ŋ tɕʰ i	native
m wʌ	native
m wʌ s	native
m ju tɕ i kʰ ʌ l	loan
m i k ɑ k	sino
m i k u k	sino
m i k u n	sino
m i k u ŋ	sino
m i n ɑ m	sino
m i n jʌ	sino
m i n i	loan
m i t ɑ l	sino
m i t ʌ k	sino
m i t i ʌ	loan
m i l ɑ n	loan
m i l ɛ	sino
m i l jʌ	sino
m i l jʌ n	sino
m i l o	sino
m i l ɯ k	sino
m i l i	sino
m i m ɑ n	sino
m i m o	sino
m i m i	sino
m i p i	sino
m i s ɑ	loan
m i s ɑ i l	loan
m i s o	sino
m i s u k	sino
m i s u l	sino
m i s ɯ	loan
